Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL4177494,4.53,4.18,418.47
CHEMBL418,6.47,-0.42,319.29
CHEMBL419,5.4,-0.21,186.24
CHEMBL421,5.35,3.7,398.4
CHEMBL4250387,7.23,2.94,365.48
CHEMBL4303669,7.21,-1.12,290.11
CHEMBL442687,5.75,1.56,168.17
CHEMBL443431,6.75,4.37,639.72
CHEMBL4441746,5.58,2.68,289.31
CHEMBL4444582,7.99,0.16,363.33
CHEMBL444683,6.245,5.45,718.78
CHEMBL4447079,6.85,5.01,368.39
CHEMBL4447505,6.85,1.37,380.41
CHEMBL4448898,5.79,4.22,316.38
CHEMBL4453373,7.99,-0.07,390.33
CHEMBL4456875,7.68,1.47,365.44
CHEMBL445982,6.8100000000000005,5.42,748.8
CHEMBL4463022,7.8,5.09,401.57
CHEMBL4463041,5.24,3.75,333.43
CHEMBL4467499,5.48,5.64,380.49
CHEMBL4469527,6.51,4.69,332.45
CHEMBL4473329,8.68,1.47,365.44
CHEMBL4476621,7.54,3.33,356.23
CHEMBL4476741,5.88,3.15,305.38
CHEMBL447810,5.55,0.91,228.12
CHEMBL4517453,6.3,5.18,364.42
CHEMBL4524569,7.99,-0.07,390.33
CHEMBL4528023,5.68,5.48,384.45
CHEMBL4532237,5.92,3.41,319.41
CHEMBL4533252,9.4,1.98,389.43
CHEMBL4533978,5.91,3.29,317.37
CHEMBL4538894,6.04,1.47,365.44
CHEMBL453931,6.91,4.15,656.71
CHEMBL4540118,5.83,5.34,366.46
CHEMBL4541764,7.99,-0.28,389.35
CHEMBL4554647,6.39,4.87,350.4
CHEMBL4557523,5.98,2.94,303.34
CHEMBL4561046,5.8,3.83,302.35
CHEMBL4576825,5.89,4.3,318.42
CHEMBL4579543,7.99,0.16,363.33
CHEMBL4584443,6.78,1.46,335.41
CHEMBL4591628,5.82,3.91,304.39
CHEMBL4592008,5.67,3.44,288.32
CHEMBL4632515,5.56,2.86,396.36
CHEMBL4632577,4.85,3.61,385.81
CHEMBL4633178,9.34,2.37,374.39
CHEMBL4635469,5.38,3.26,365.39
CHEMBL4635834,5.28,2.96,381.39
CHEMBL4636417,5.56,2.86,396.36
CHEMBL4637712,5.01,3.09,369.35
CHEMBL4639923,5.73,3.61,385.81
CHEMBL4640224,5.7,2.86,396.36
CHEMBL4640484,5.68,3.26,365.39
CHEMBL4641337,5.28,2.96,381.39
CHEMBL4641693,5.44,2.96,381.39
CHEMBL4641866,5.17,3.61,385.81
CHEMBL4641975,5.18,3.09,369.35
CHEMBL4642019,5.7,2.65,395.37
CHEMBL4642730,5.45,3.26,365.39
CHEMBL4644942,9.34,2.79,435.85
CHEMBL4647534,4.97,3.09,369.35
CHEMBL466495,7.0,3.39,555.6
CHEMBL466517,4.18,1.19,242.32
CHEMBL467098,7.574999999999999,2.05,513.56
CHEMBL4741442,6.29,1.42,402.27
CHEMBL4741640,6.28,2.24,456.66
CHEMBL4746908,5.65,2.02,495.61
CHEMBL4747356,7.41,1.51,451.6
CHEMBL4750069,6.72,0.9,452.59
CHEMBL4759737,6.07,1.34,468.58
CHEMBL4761403,4.04,2.12,494.66
CHEMBL4763412,6.88,2.42,478.67
CHEMBL4764100,7.55,0.54,388.54
CHEMBL4764656,6.29,1.42,438.74
CHEMBL4783836,6.6,2.25,482.63
CHEMBL4786423,7.48,0.47,445.64
CHEMBL4792992,7.62,0.86,459.66
CHEMBL4799997,6.11,2.06,353.35
CHEMBL4846607,6.28,4.85,518.55
CHEMBL4847613,8.33,3.99,473.5
CHEMBL4847624,8.303333333333333,3.99,473.5
CHEMBL4849196,8.34,3.99,473.5
CHEMBL4849226,6.57,-3.14,362.36
CHEMBL4849396,7.1,-2.5,332.33
CHEMBL4853833,6.56,5.24,589.6
CHEMBL4854006,7.05,-2.5,332.33
CHEMBL4856793,8.0,3.16,579.1
CHEMBL4857592,8.313333333333333,3.99,473.5
CHEMBL4857605,6.62,4.57,546.6
CHEMBL4859439,7.05,4.19,512.57
CHEMBL4861346,6.45,5.89,624.04
CHEMBL4862901,7.7,2.74,578.12
CHEMBL4863113,7.3,-2.96,390.37
CHEMBL4863999,6.68,-3.14,362.36
CHEMBL4864240,7.23,0.39,428.5
CHEMBL4864555,8.35,3.99,473.5
CHEMBL4865818,8.05,-3.14,362.36
CHEMBL4868770,7.23,0.42,427.51
CHEMBL4869398,8.29,3.99,473.5
CHEMBL4870385,8.0,1.49,551.42
CHEMBL4870827,7.16,2.1,471.5
CHEMBL4872387,8.32,3.99,473.5
CHEMBL4874430,7.23,-0.61,234.24
CHEMBL4876038,8.316666666666666,3.99,473.5
CHEMBL4876347,7.16,-2.11,346.36
CHEMBL4876707,7.8,4.19,512.57
CHEMBL4878420,7.48,3.53,525.55
CHEMBL499578,6.59,4.1,716.76
CHEMBL503194,7.18,6.74,780.85
CHEMBL507085,6.824999999999999,4.9,714.79
CHEMBL5074657,7.44,-2.99,403.41
CHEMBL5076082,7.38,-1.7,404.44
CHEMBL5077053,7.0,-2.48,376.39
CHEMBL5080007,8.0,-2.48,376.39
CHEMBL5081057,7.0,-1.74,403.46
CHEMBL5082154,7.46,-2.09,390.41
CHEMBL5082205,7.5,-1.7,404.44
CHEMBL5082693,7.22,-2.48,376.39
CHEMBL5083451,6.82,-2.09,390.41
CHEMBL5084604,6.96,-1.7,404.44
CHEMBL5085498,7.05,-1.7,404.44
CHEMBL508578,7.85,6.8,700.76
CHEMBL5087194,7.62,-2.6,417.44
CHEMBL508732,4.64,2.03,221.28
CHEMBL5089923,7.1,-2.09,390.41
